#node	date	numeric date
A/Sydney/327/2014|EPI_ISL_171817|NSW|2014-12-03	2014-12-03	2014.922656
NODE_0000148	2014-12-16	2014.960682
A/Victoria/1000/2015|EPI_ISL_219035|VIC|2015-06-17	2015-06-17	2015.459959
A/Victoria/3059/2015|EPI_ISL_202697|VIC|2015-09-04	2015-09-04	2015.676249
NODE_0000149	2013-10-16	2013.792301
NODE_0000150	2014-12-15	2014.957695
A/Tasmania/1012/2015|EPI_ISL_219034|TAS|2015-08-04	2015-08-04	2015.591376
A/SouthAustralia/64/2015|EPI_ISL_197940|SA|2015-05-22	2015-05-22	2015.388775
NODE_0000151	2013-12-15	2013.955839
A/VICTORIA/2078/2014|EPI_ISL_168959|VIC|2014-09-10	2014-09-10	2014.692676
A/TASMANIA/122/2014|EPI_ISL_168932|TAS|2014-09-05	2014-09-05	2014.678987
A/Victoria/5025/2014|EPI_ISL_192807|VIC|2014-09-01	2014-09-01	2014.668036
A/Victoria/5071/2014|EPI_ISL_192819|VIC|2014-10-03	2014-10-03	2014.755647
NODE_0000156	2014-07-06	2014.512900
A/Tasmania/1014/2015|EPI_ISL_202610|TAS|2015-08-20	2015-08-20	2015.635181
A/Sydney/20/2015|EPI_ISL_194533|NSW|2015-03-24	2015-03-24	2015.227242
NODE_0000158	2014-01-13	2014.037251
A/VICTORIA/503/2014|EPI_ISL_164984|VIC|2014-05-05	2014-05-05	2014.342231
A/NEWCASTLE/25/2014|EPI_ISL_164980|NSW|2014-05-04	2014-05-04	2014.339493
NODE_0000159	2014-04-30	2014.328741
A/Victoria/6001/2015|EPI_ISL_219040|VIC|2015-01-04	2015-01-04	2015.010951
NODE_0000160	2014-09-23	2014.730304
A/Victoria/511/2015|EPI_ISL_219039|VIC|2015-05-16	2015-05-16	2015.372348
A/Victoria/664/2015|EPI_ISL_209046|VIC|2015-09-22	2015-09-22	2015.725530
NODE_0000162	2013-05-07	2013.348938
A/SouthAustralia/40/2014|EPI_ISL_219310|SA|2014-06-20	2014-06-20	2014.468172
NODE_0000163	2015-04-29	2015.326758
A/SouthAustralia/3/2016|EPI_ISL_222804|SA|2016-01-03	2016-01-03	2016.008214
A/Sydney/29/2016|EPI_ISL_222803|NSW|2016-01-10	2016-01-10	2016.027379
NODE_0000165	2013-07-09	2013.521407
A/Sydney/6/2015|EPI_ISL_197853|NSW|2015-01-05	2015-01-05	2015.013689
NODE_0000179	2013-09-19	2013.717689
A/Tasmania/11/2014|EPI_ISL_166748|TAS|2014-03-16	2014-03-16	2014.205339
NODE_0000180	2014-01-13	2014.036916
A/SouthAustralia/24/2014|EPI_ISL_219307|SA|2014-06-08	2014-06-08	2014.435318
A/SouthAustralia/55/2014|EPI_ISL_166745|SA|2014-06-14	2014-06-14	2014.451745
NODE_0000185	2013-10-04	2013.760931
A/Canberra/12/2015|EPI_ISL_194498|ACT|2015-02-12	2015-02-12	2015.117728
A/Victoria/69/2014|EPI_ISL_192822|VIC|2014-07-16	2014-07-16	2014.539357
A/VICTORIA/806/2014|EPI_ISL_165906|VIC|2014-04-28	2014-04-28	2014.323066
NODE_0000181	2013-09-07	2013.686919
A/Perth/551/2014|EPI_ISL_192748|WA|2014-05-08	2014-05-08	2014.350445
A/SYDNEY/84/2014|EPI_ISL_166037|NSW|2014-05-22	2014-05-22	2014.388775
NODE_0000183	2014-01-15	2014.043168
A/TASMANIA/37/2014|EPI_ISL_168933|TAS|2014-08-06	2014-08-06	2014.596851
A/SYDNEY/85/2014|EPI_ISL_166038|NSW|2014-06-03	2014-06-03	2014.421629
NODE_0000168	2016-04-28	2016.323537
NODE_0000169	2016-09-11	2016.696089
A/Brisbane/1/2017|EPI_ISL_288867|QLD|2017-01-02	2017-01-02	2017.005476
NODE_0000170	2016-11-04	2016.843303
A/Brisbane/4/2017|EPI_ISL_273047|QLD|2017-01-09	2017-01-09	2017.024641
A/Brisbane/4/2017|EPI_ISL_269254|QLD|2017-01-09	2017-01-09	2017.024641
NODE_0000171	2016-06-26	2016.486138
A/Brisbane/13/2017|EPI_ISL_275282|QLD|2017-01-16	2017-01-16	2017.043806
NODE_0000172	2016-09-29	2016.745729
A/Newcastle/77/2017|EPI_ISL_275189|NSW|2017-07-02	2017-07-02	2017.501027
A/Newcastle/51/2017|EPI_ISL_275554|NSW|2017-03-21	2017-03-21	2017.219028
NODE_0000174	2017-01-23	2017.065626
A/Newcastle/78/2017|EPI_ISL_275190|NSW|2017-06-04	2017-06-04	2017.424367
NODE_0000175	2017-06-26	2017.487190
A/Perth/103/2018|EPI_ISL_331777|WA|2018-09-03	2018-09-03	2018.673511
A/Brisbane/34/2018|EPI_ISL_330022|Queensland|2018-03-17	2018-03-17	2018.208077
NODE_0000693	2013-08-05	2013.596725
NODE_0000646	2013-09-16	2013.711305
A/VICTORIA/27/2014|EPI_ISL_166030|VIC|2014-06-25	2014-06-25	2014.481862
NODE_0000647	2013-09-16	2013.711305
A/SOUTHAUSTRALIA/55/2014|EPI_ISL_165592|SA|2014-06-14	2014-06-14	2014.451745
A/Brisbane/368/2014|EPI_ISL_171769|QLD|2014-11-21	2014-11-21	2014.889802
NODE_0000188	2013-10-31	2013.834607
A/SouthAustralia/1/2015|EPI_ISL_192749|SA|2015-02-07	2015-02-07	2015.104038
NODE_0000189	2014-06-25	2014.483503
A/SouthAustralia/106/2016|EPI_ISL_239954|SA|2016-09-09	2016-09-10	2016.692676
NODE_0000190	2015-04-15	2015.289075
A/Perth/22/2016|EPI_ISL_234132|WA|2016-04-15	2016-04-16	2016.290212
NODE_0000191	2015-09-06	2015.683359
A/Brisbane/280/2016|EPI_ISL_243989|QLD|2016-10-27	2016-10-28	2016.824093
NODE_0000192	2015-10-27	2015.821490
A/SouthAustralia/41/2016|EPI_ISL_233231|SA|2016-07-02	2016-07-03	2016.503765
A/Tasmania/75/2016|EPI_ISL_239839|TAS|2016-10-03	2016-10-04	2016.758385
A/Newcastle/53/2016|EPI_ISL_233242|NSW|2016-07-17	2016-07-18	2016.544832
A/Tasmania/199/2016|EPI_ISL_239838|TAS|2016-11-25	2016-11-26	2016.903491
NODE_0000193	2016-05-05	2016.344454
A/Brisbane/7/2017|EPI_ISL_269348|QLD|2017-01-09	2017-01-09	2017.024641
A/Townsville/51/2016|EPI_ISL_246674|QLD|2016-12-13	2016-12-14	2016.952772
NODE_0000198	2015-12-30	2015.998287
A/Newcastle/67/2016|EPI_ISL_233278|NSW|2016-07-29	2016-07-30	2016.577687
A/Perth/141/2016|EPI_ISL_289841|WA|2016-08-22	2016-08-23	2016.643395
NODE_0000199	2011-09-16	2011.709443
A/Victoria/710/2013|EPI_ISL_219313|VIC|2013-02-03	2013-02-03	2013.093087
A/BRISBANE/132/2012|EPI_ISL_134454|Queensland|2012-07-30	2012-07-31	2012.580424
NODE_0000202	2012-05-10	2012.356801
A/BRISBANE/24/2013|EPI_ISL_161270|QLD|2013-02-25	2013-02-25	2013.153320
A/TASMANIA/1/2013|EPI_ISL_141559|TAS|2013-02-22	2013-02-22	2013.145106
NODE_0000203	2011-11-29	2011.912999
NODE_0000204	2012-04-12	2012.279833
A/Brisbane/1/2013|EPI_ISL_219278|QLD|2013-01-03	2013-01-03	2013.008214
A/SOUTHAUSTRALIA/8/2013|EPI_ISL_141558|SA|2013-03-06	2013-03-06	2013.177960
NODE_0000205	2012-02-02	2012.091652
NODE_0000207	2012-07-14	2012.534502
A/Brisbane/21/2013|EPI_ISL_219275|QLD|2013-02-27	2013-02-27	2013.158795
A/PERTH/164/2013|EPI_ISL_151587|WA|2013-08-29	2013-08-29	2013.659822
NODE_0000648	2012-06-13	2012.450428
NODE_0000208	2012-12-04	2012.927132
A/Victoria/506/2013|EPI_ISL_219323|VIC|2013-06-16	2013-06-16	2013.457221
A/Victoria/504/2013|EPI_ISL_219329|VIC|2013-06-17	2013-06-17	2013.459959
A/VICTORIA/528/2013|EPI_ISL_151492|VIC|2013-07-19	2013-07-19	2013.547570
NODE_0000649	2012-06-25	2012.481960
NODE_0000212	2013-02-10	2013.113961
A/Perth/98/2013|EPI_ISL_219292|WA|2013-08-05	2013-08-05	2013.594114
A/Perth/239/2013|EPI_ISL_219291|WA|2013-09-26	2013-09-26	2013.736482
NODE_0000650	2012-06-25	2012.481960
A/BRISBANE/141/2013|EPI_ISL_161283|QLD|2013-08-18	2013-08-18	2013.629706
NODE_0000213	2012-11-05	2012.847966
A/TOWNSVILLE/33/2013|EPI_ISL_145320|QUEENSLAND|2013-03-21	2013-03-21	2013.219028
A/Perth/247/2013|EPI_ISL_192743|WA|2013-10-07	2013-10-07	2013.766598
NODE_0000215	2013-08-06	2013.597512
A/Canberra/3/2014|EPI_ISL_219280|ACT|2014-01-27	2014-01-27	2014.073922
A/Brisbane/43/2014|EPI_ISL_165893|QLD|2014-02-17	2014-02-17	2014.131417
NODE_0000217	2013-06-29	2013.494482
NODE_0000219	2014-02-03	2014.094803
A/Victoria/5006/2014|EPI_ISL_219037|VIC|2014-08-25	2014-08-25	2014.648871
A/NEWCASTLE/1016/2014|EPI_ISL_168904|NSW|2014-08-06	2014-08-06	2014.596851
NODE_0000651	2013-08-26	2013.652222
A/PERTH/515/2014|EPI_ISL_166133|WA|2014-02-16	2014-02-16	2014.128679
NODE_0000652	2013-11-12	2013.867691
A/SouthAustralia/57/2015|EPI_ISL_194528|SA|2015-04-20	2015-04-20	2015.301164
NODE_0000653	2014-03-17	2014.208077
A/PERTH/526/2014|EPI_ISL_166124|WA|2014-03-17	2014-03-17	2014.208077
A/Perth/43/2015|EPI_ISL_197959|WA|2015-05-21	2015-05-21	2015.386037
NODE_0000224	2013-09-11	2013.695959
NODE_0000225	2014-01-15	2014.043685
NODE_0000227	2014-06-10	2014.442231
A/SouthAustralia/9/2015|EPI_ISL_222826|SA|2015	2015-01-01	2015.000000
